127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000351
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000291
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.001097
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/stripes.png, HTTP/1.1, 304, 0.000407
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000391
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/twitter.png, HTTP/1.1, 304, 0.000449
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/facebook.png, HTTP/1.1, 304, 0.000439
127.0.0.1, 2013-05-20 15:25:58, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 304, 0.000400
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/default/index, HTTP/1.1, 200, 0.010188
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001525
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000594
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000378
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001296
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.001098
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000390
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000390
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000845
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000605
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000483
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000447
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/js/share.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000552
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000542
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000439
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000358
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-05-20 15:25:59, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000403
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/stripes.png, HTTP/1.1, 304, 0.000417
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/twitter.png, HTTP/1.1, 304, 0.000351
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/facebook.png, HTTP/1.1, 304, 0.000536
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/default/index, HTTP/1.1, 200, 0.016759
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000401
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000629
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000429
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000376
127.0.0.1, 2013-05-20 15:26:00, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000405
